Source IP,Source Port,Destination IP,Destination Port,Protocol
192.168.122.197,59290,23.90.68.235,443,TCP
119.9.108.180,443,192.168.122.197,43530,TCP
54.201.89.139,443,192.168.122.197,56588,TCP
185.84.60.29,443,192.168.122.197,38222,TCP
23.90.68.235,443,192.168.122.197,59288,TCP
192.168.122.197,41372,18.66.53.75,443,TCP
18.66.53.75,443,192.168.122.197,41372,TCP
192.168.122.197,33880,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,33880,TCP
52.94.220.185,443,192.168.122.197,57288,TCP
23.90.68.235,443,192.168.122.197,59290,TCP
192.168.122.197,33884,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,33884,TCP
192.168.122.197,37206,34.212.5.23,443,TCP
34.212.5.23,443,192.168.122.197,37194,TCP
185.84.60.29,443,192.168.122.197,38232,TCP
54.201.89.139,443,192.168.122.197,56592,TCP
34.212.5.23,443,192.168.122.197,37206,TCP
192.168.122.197,35682,52.46.151.131,443,TCP
192.168.122.197,37640,108.158.57.57,80,TCP
192.168.122.197,37646,108.158.57.57,80,TCP
192.168.122.197,37660,108.158.57.57,80,TCP
108.158.57.57,80,192.168.122.197,37646,TCP
108.158.57.57,80,192.168.122.197,37640,TCP
108.158.57.57,80,192.168.122.197,37660,TCP
192.168.122.197,46684,103.43.90.19,443,TCP
192.168.122.197,46700,103.43.90.19,443,TCP
192.168.122.197,40896,142.250.183.195,80,TCP
192.168.122.197,40910,142.250.183.195,80,TCP
142.250.183.195,80,192.168.122.197,40896,TCP
142.250.183.195,80,192.168.122.197,40910,TCP
52.46.151.131,443,192.168.122.197,35682,TCP
192.168.122.197,40916,142.250.183.195,80,TCP
142.250.183.195,80,192.168.122.197,40916,TCP
192.168.122.197,35686,52.46.151.131,443,TCP
192.168.122.197,57292,52.94.220.185,443,TCP
192.168.122.197,35020,104.18.14.101,80,TCP
104.18.14.101,80,192.168.122.197,35020,TCP
192.168.122.197,57302,52.94.220.185,443,TCP
52.94.220.185,443,192.168.122.197,57292,TCP
192.168.122.197,38424,18.194.35.23,443,TCP
192.168.122.197,46702,103.43.90.19,443,TCP
192.168.122.197,46718,103.43.90.19,443,TCP
